Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6
2022-10-28 08:10:22.732922-07:00,0.0,4.03,2.18,-3.38,-0.22,8.15,869.62,43.53,24.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:22.732922+00:00,1.0769477587873784,0.014560049499888202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:22.925016-07:00,0.192094,4.61,2.72,-3.72,-0.18,8.04,869.6,43.88,24.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:22.925016+00:00,1.0773442769711765,0.014567228660340159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:23.124630-07:00,0.391708,4.54,2.11,-4.0,-0.37,7.8,869.59,44.53,21.0,-1.0,,,,,,,,,,1.9574,2.28004,6167.06,15.3318,11856.0,-0.924968,-1.0,13.0,-1186.0,98.0,,0.0,,2022-10-28 15:10:23.124630+00:00,1.0782521928771773,0.014583073478756335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:23.325097-07:00,0.592175,3.8,1.47,-3.5,-0.28,8.03,869.63,43.89,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:23.325097+00:00,1.0774197602943727,0.01456802916808808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:23.524714-07:00,0.791792,4.01,1.59,-3.67,-0.25,8.11,869.62,43.71,24.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:23.524714+00:00,1.077100919245145,0.014562692962558525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:23.724555-07:00,0.991633,3.84,0.81,-3.74,-0.3,8.03,869.64,43.85,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:23.724555+00:00,1.0774321496986055,0.01456807552638804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:23.924595-07:00,1.191673,3.65,0.4,-3.62,-0.32,7.93,869.65,44.32,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:23.924595+00:00,1.0778278621920308,0.014574739814092975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:24.124689-07:00,1.391767,3.31,0.75,-3.23,-0.15,8.04,869.65,43.87,22.0,-1.0,,,,,,,,,,1.96079,1.51578,6172.37,15.3379,11781.0,-0.917562,-1.0,11.0,-1201.0,98.0,,0.0,,2022-10-28 15:10:24.124689+00:00,1.0774062217893097,0.014567460427464408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:24.324513-07:00,1.591591,4.02,1.1,-3.85,-0.33,7.91,869.65,44.33,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:24.324513+00:00,1.0779045595422188,0.014576064131875099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:24.524865-07:00,1.791943,3.72,1.36,-3.45,-0.23,7.75,869.64,44.74,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:24.524865+00:00,1.0785061297695047,0.014586620984380806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:24.724190-07:00,1.991268,3.61,1.39,-3.33,-0.24,7.68,869.63,45.03,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:24.724190+00:00,1.0787625545688555,0.01459121831917191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:24.924319-07:00,2.191397,3.65,1.56,-3.29,-0.26,7.75,869.63,44.74,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:24.924319+00:00,1.078493728015563,0.014586574500140498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:25.124648-07:00,2.391726,3.57,1.13,-3.37,-0.37,7.99,869.63,44.09,26.0,-1.0,,,,,,,,,,1.9584,1.33451,6164.55,15.3433,11853.0,-0.915863,-1.0,14.0,-1187.0,98.0,,0.0,,2022-10-28 15:10:25.124648+00:00,1.0775730532815384,0.014570675572054314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:25.324735-07:00,2.591813,3.46,1.15,-3.26,-0.24,8.08,869.64,43.81,22.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:25.324735+00:00,1.0772405925834865,0.01456476886999445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:25.524924-07:00,2.792002,3.31,0.68,-3.23,-0.22,8.06,869.65,43.86,23.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:25.524924+00:00,1.077329595337776,0.01456613769502559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:25.724232-07:00,2.99131,3.51,1.07,-3.34,-0.19,8.12,869.65,43.69,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:25.724232+00:00,1.077099781366431,0.01456217095934995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28 08:10:25.924867-07:00,3.191945,3.38,1.71,-2.9,-0.16,7.98,869.64,44.14,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:25.924867+00:00,1.077623774951993,0.014571383706205239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
