Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H2O,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6,x_dist,y_dist,s_dist,z_dist,velocity_s,velocity_z,x_src_dist,y_src_dist,s_src_dist,collecting,group,transect_num
2022-10-28 08:10:23.124630-07:00,0.391708,4.54,2.11,-4.0,-0.37,7.8,869.59,44.53,21.0,-1.0,,,,,,,,,,1.9574,2.28004,6167.06,15.3318,11856.0,-0.924968,-1.0,13.0,-1186.0,98.0,,0.0,,2022-10-28 15:10:23.124630+00:00,1.0782521928771773,0.014583073478756335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:24.124689-07:00,1.391767,3.31,0.75,-3.23,-0.15,8.04,869.65,43.87,22.0,-1.0,,,,,,,,,,1.96079,1.51578,6172.37,15.3379,11781.0,-0.917562,-1.0,11.0,-1201.0,98.0,,0.0,,2022-10-28 15:10:24.124689+00:00,1.0774062217893097,0.014567460427464408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:25.124648-07:00,2.391726,3.57,1.13,-3.37,-0.37,7.99,869.63,44.09,26.0,-1.0,,,,,,,,,,1.9584,1.33451,6164.55,15.3433,11853.0,-0.915863,-1.0,14.0,-1187.0,98.0,,0.0,,2022-10-28 15:10:25.124648+00:00,1.0775730532815384,0.014570675572054314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:26.124268-07:00,3.391346,3.19,1.62,-2.75,-0.15,7.87,869.63,44.53,24.0,-1.0,,,,,,,,,,1.95994,1.40853,6155.11,15.3504,11789.0,-0.923852,-1.0,11.0,-1190.0,98.0,,0.0,,2022-10-28 15:10:26.124268+00:00,1.0780331940771892,0.01457862063913975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:27.135054-07:00,4.402132,4.05,0.81,-3.96,-0.27,8.18,869.66,43.5,21.0,-1.0,,,,,,,,,,1.9585,1.44304,6159.57,15.3552,11789.0,-0.922713,-1.0,11.0,-1190.0,98.0,,0.0,,2022-10-28 15:10:27.135054+00:00,1.0768824482195933,0.014558252706534668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:28.150180-07:00,5.417258,3.86,0.35,-3.85,-0.13,7.93,869.68,44.29,21.0,-1.0,,,,,,,,,,1.95878,0.818261,6165.44,15.3615,11851.0,-0.922787,-1.0,14.0,-1181.0,98.0,,0.0,,2022-10-28 15:10:28.150180+00:00,1.0778650436280863,0.014574879027247082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:29.175856-07:00,6.442934,2.67,0.42,-2.64,0.13,8.1,869.67,43.74,25.0,-1.0,,,,,,,,,,1.96075,1.20043,6172.91,15.3673,11792.0,-0.926034,-1.0,12.0,-1178.0,98.0,,0.0,,2022-10-28 15:10:29.175856+00:00,1.0772011477699568,0.014563585616730972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:30.192869-07:00,7.459947,3.39,0.4,-3.37,-0.11,8.27,869.66,43.36,24.0,-1.0,,,,,,,,,,1.95931,0.603145,6176.04,15.3731,11804.0,-0.92934,-1.0,10.0,-1175.0,98.0,,0.0,,2022-10-28 15:10:30.192869+00:00,1.076538054003334,0.014552309953688707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:37.125525-07:00,14.392603,2.59,0.29,-2.57,0.17,8.11,869.66,43.91,26.0,-1.0,,,,,,,,,,1.96366,0.0918087,6216.61,15.4076,11862.0,-0.955252,-1.0,11.0,-1161.0,98.0,,0.0,,2022-10-28 15:10:37.125525+00:00,1.0771504627661885,0.01456287825292644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2022-10-28 08:10:38.125807-07:00,15.392885,3.07,0.55,-3.02,-0.0,7.7,869.67,45.18,22.0,-1.0,,,,,,,,,,1.96276,0.232714,6207.97,15.4137,11862.0,-0.954897,-1.0,11.0,-1161.0,98.0,,0.0,,2022-10-28 15:10:38.125807+00:00,1.0787353491554224,0.01459007723715284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
