Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H2O,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6,x_dist,y_dist,s_dist,z_dist,velocity_s,velocity_z,x_src_dist,y_src_dist,s_src_dist,collecting,group,transect_num
2022-08-31 10:30:40.559874-06:00,4451.867806,3.78,3.39,-1.63,0.31,21.98,866.4,76.3,48.0,2.0,0.0944275,0.135883,0.00391616,33.9943373,-106.894674,1364.28713,21.8233357,0.394206068,-0.306925196,1.82789,3.88441,23672.6,35.2235,10992.0,-0.0162818,-1.0,13.0,-1366.0,55.0,,0.0,2022-08-31 09:30:38.652,2022-08-31 16:30:40.559874+00:00,1.022680406543661,0.013687933789895947,3.728614323730397,-2.6375210449999487,2.6355355266643374,0.31391616,315.0215741693369,0.16161195484829435,0.298894284191811,3.445650494204986,317.50868990268697,-2.540998969866574,2.3159135464374607,0.152075352,0.29660104556575834,0.1628404234978818,0.8211878527233353,-0.5706579628285562,3.3518413679853816,0.20692314412656856,1.8175101917461234,0.010379808253876632,0.010379808253876632,0.005099019513592785,True,6.004365003085695,,-2.1199550030856953,0.7071067811865476,False,-0.044537062988929385,-0.6461937903870333,0.6477267670202004,1.3138400000000274,-0.009971537556972665,-0.30799000000001797,-801.2994229892602,518.3878982022301,954.3619744548956,False,,
2022-08-31 10:30:40.759110-06:00,4452.067042,3.24,2.84,-1.56,0.07,22.03,866.4,76.0,51.0,2.0,0.0704008,0.092003,-0.0253687,33.9943373,-106.894675,1364.2084,21.8037131,0.18390517,-0.160560202,1.82789,3.88441,23672.6,35.2235,10992.0,-0.0162818,-1.0,13.0,-1366.0,55.0,,0.0,2022-08-31 09:30:38.652,2022-08-31 16:30:40.759110+00:00,1.0225071765811733,0.013685020981972487,3.2158501918676383,-2.4112528798884023,2.1278045036527704,0.044631300000000006,318.5732825941822,0.15871887209135152,0.29283828465952955,3.5655726907768104,319.5964519924143,-2.714001238308752,2.303564822731189,0.18383065199999998,0.2996627010322355,0.1684796470360753,0.7941680075108379,-0.6076982605259502,3.4787113170259882,0.19897612277677873,1.8173701441855883,,0.010519855814411727,0.005099019513592785,False,6.041732634184882,,-2.157322634184882,0.7071067811865476,False,-0.044537062439290294,-0.7385071802352674,0.7398489070004544,1.235110000000077,0.09212213998025398,-0.07872999999995045,-801.2994229887105,518.2955848123819,954.3118350508125,False,,
2022-08-31 10:30:41.759220-06:00,4453.067152,4.47,4.11,-1.76,-0.05,20.72,866.39,82.45,35.0,2.0,0.0918358,0.0248583,0.0315241,33.9943361,-106.894676,1364.1116,21.677394,-1.77484392,2.58678255,1.81972,2.79655,23782.1,35.2205,11039.0,-0.0249718,-1.0,13.0,-1382.0,55.0,,0.0,2022-08-31 09:30:39.676,2022-08-31 16:30:41.759220+00:00,1.0270534070526032,0.013761714847197529,4.519298400443889,-3.128824028782756,3.261060905467167,-0.018475900000000003,313.81444913798333,0.16762996679086575,0.3079364202277867,4.2945396531572815,315.9655746908732,-3.070522986313961,2.992298561825594,-0.061530720000000004,0.306592212076035,0.16945410957097298,0.26127939864604804,-0.9652632158344995,3.7456888608663905,0.15926725333369574,1.81666287759208,,0.00305712240792011,0.005099019513592785,False,6.231042140279897,,-3.4344921402798967,0.7071067811865476,False,-0.17814824563746962,-0.8308205771860662,0.8497056130799044,1.1383100000000468,0.10985670607945008,-0.0968000000000302,-801.4330341719086,518.2032714154311,954.3738988298279,False,,
2022-08-31 10:30:42.759777-06:00,4454.067709,4.22,3.77,-1.88,-0.07,20.52,866.36,83.45,106.0,2.0,0.137824,0.0941033,-0.101657,33.994338,-106.894675,1364.38638,21.6160511,-0.263289464,0.425972834,1.82181,3.21692,23844.3,35.2174,11059.0,-0.0373152,-1.0,15.0,-1378.0,55.0,,0.0,2022-08-31 09:30:40.700,2022-08-31 16:30:42.759777+00:00,1.0277172805274697,0.013773384046465133,4.237927406846266,-3.0424940319516716,2.950128602491284,-0.171657,315.8830407960821,0.17317635210616428,0.307398478073766,4.414012322742869,316.714517244956,-3.212480982119936,3.026528496505933,-0.18195476000000002,0.3114562337287867,0.1772880280037354,0.5638782526638024,-0.82585792735362,4.359646485803462,0.1562948751172234,1.8159481465245335,,0.0058618534754664164,0.005099019513592785,False,6.423344016657211,,-3.206424016657211,0.7071067811865476,False,0.033402797407237415,-0.7385071947542999,0.739262215711377,1.413090000000011,-0.11044339736852749,0.2747799999999643,-801.221483128864,518.2955847978628,954.2463928400123,False,,
2022-08-31 10:30:43.559719-06:00,4454.867651,4.35,3.94,-1.84,-0.18,21.22,866.35,80.0,29.0,2.0,0.0787943,0.00993588,-0.108199,33.9943385,-106.894675,1364.4215299999998,21.5721093,0.566516349,-0.600353718,1.81985,3.3065,23655.0,35.2147,11063.0,-0.0907433,-1.0,16.0,-1372.0,55.0,,0.0,2022-08-31 09:30:41.724,2022-08-31 16:30:43.559719+00:00,1.0252615759752008,0.013732160572014492,4.395852006477589,-3.1498096929955195,3.0663029466712053,-0.288199,315.76966049505234,0.17145994819709273,0.3079179491797241,4.37309733516534,315.3303948939962,-3.1132602293000327,3.069098427498584,-0.3097449,0.30730147669436436,0.1694126730102651,0.12510822221561343,-0.99214310093557,3.4727691059862007,0.16683036628012435,1.8153715520368223,,0.004478447963177645,0.005099019513592785,False,6.579193254583515,,-3.272693254583515,0.7071067811865476,False,0.08907412643791114,-0.7385071944773041,0.7438595810335548,1.4482399999999416,0.004597365322177804,0.035149999999930515,-801.1658117998333,518.2955847981399,954.1996495587973,False,,
2022-08-31 10:30:43.759206-06:00,4455.067138,4.07,3.72,-1.65,-0.13,21.27,866.37,79.83,47.0,2.0,0.062678,-0.0191436,-0.133348,33.9943384,-106.894675,1364.4544899999999,21.5335744,0.207537054,0.129325553,1.81985,3.3065,23655.0,35.2147,11063.0,-0.0907433,-1.0,16.0,-1372.0,55.0,,0.0,2022-08-31 09:30:41.724,2022-08-31 16:30:43.759206+00:00,1.025111125009117,0.013729310100576052,4.127238124853568,-2.9193904724613557,2.917405321265225,-0.263348,315.01948685286715,0.1632168231722689,0.3014013609428896,4.341017815195807,314.3548726350469,-3.035771196630479,3.1010752283565197,-0.3115463,0.30503530182519695,0.1658194472480124,0.29210673255741404,0.9563857259467183,-1.9975232873276192,0.15388771368134604,1.815227044575522,,0.0046229554244778814,0.005099019513592785,False,6.618350988952443,,-3.311850988952443,0.7071067811865476,False,0.07793986121292033,-0.7385071991620734,0.742608581407527,1.4811999999999443,-0.0012509996260278156,0.032960000000002765,-801.1769460650582,518.2955847934551,954.2089981353786,False,,
2022-08-31 10:30:44.759726-06:00,4456.067658,4.71,4.23,-2.07,-0.12,21.38,866.36,79.32,50.0,2.0,0.111082,0.0431863,-0.220871,33.9943375,-106.894671,1364.24246,21.7847811,-1.58655123,0.306566686,1.82034,2.92756,23594.8,35.2118,11033.0,-0.158515,-1.0,14.0,-1356.0,55.0,,0.0,2022-08-31 09:30:42.748,2022-08-31 16:30:44.759726+00:00,1.0247164423742983,0.013722823365251163,4.753142089998664,-3.448826152291865,3.270773287616333,-0.34087100000000004,316.5178421233324,0.18173088707353244,0.3171037163417467,4.835348552053889,315.6895277879297,-3.457179765322435,3.375761526156718,-0.32228594,0.3186246862141715,0.18248404919915634,0.36235693721778034,-0.9320394037003745,4.445458374351891,0.16395105290725084,1.8144979321855317,,0.005842067814468388,0.005099019513592785,False,6.8165143326623365,,-3.8889543326623364,0.7071067811865476,False,-0.022268531338536977,-0.3692535912198665,0.3699244546076181,1.269170000000031,-0.37268412679990887,-0.21202999999991334,-801.2771544576098,518.6648384013973,954.493736411943,False,,
2022-08-31 10:30:45.759131-06:00,4457.067063,5.73,5.45,-1.75,0.19,21.3,866.4,79.01,96.0,2.0,-0.199872,-0.0104273,-0.0843874,33.9943366,-106.894672,1363.5918199999999,22.1358073,-2.76229615,1.24115802,1.82322,3.10639,23651.0,35.2091,11033.0,-0.0878726,-1.0,14.0,-1356.0,55.0,,0.0,2022-08-31 09:30:43.772,2022-08-31 16:30:45.759131+00:00,1.025042174845409,0.013727673756490973,5.579180587982623,-3.6850182173942114,4.1890209799898255,0.1056126,311.3375987852997,0.1660673099316412,0.32276767389669864,5.018162294294116,313.366357897474,-3.4321590391254446,3.6433157389056725,-0.02874696,0.31734991356004916,0.16749607800742763,0.05209903799932181,-0.9986419229331128,3.6173111477692728,0.1670436627164762,1.8137623782515675,,0.009457621748432565,0.005099019513592785,False,7.017415506648831,,-3.911025506648831,0.7071067811865476,False,-0.12247690880816786,-0.46156694713266716,0.4775401971316913,0.6185299999999643,0.10761574252407324,-0.6506400000000667,-801.3773628350793,518.5725250454844,954.5277059344878,False,,
2022-08-31 10:30:46.759844-06:00,4458.067776,4.89,4.53,-1.83,-0.12,21.27,866.41,79.3,35.0,2.0,-0.152249,0.161228,0.149998,33.9943361,-106.894675,1363.5787599999999,22.8425899,-0.291242152,-0.385270983,1.81939,3.00714,23724.5,35.2062,10993.0,-0.173019,-1.0,14.0,-1362.0,55.0,,0.0,2022-08-31 09:30:44.796,2022-08-31 16:30:46.759844+00:00,1.0251584540313596,0.013729473173773151,4.664035020056712,-3.283803277332043,3.3120777020019854,0.029997999999999997,314.7543928879147,0.16805419824138393,0.31747611488931265,4.815142085453684,316.2986706509849,-3.4813366613665337,3.3249479219784925,-0.027411324000000004,0.3223696770228647,0.1754743721062846,0.7270624244603322,0.6865713589553993,0.02725865478235212,0.18942465412481824,1.8130185582429021,,0.006371441757097918,0.005099019513592785,False,7.221561010344885,,-4.214421010344886,0.7071067811865476,False,-0.17814823075776975,-0.7385071177766994,0.7596904337484917,0.6054699999999684,0.28215023661680033,-0.013059999999995853,-801.4330341570289,518.2955848748404,954.4240260695948,False,,
2022-08-31 10:30:47.559796-06:00,4458.867728,5.5,4.92,-2.48,-0.06,21.43,866.38,78.42,64.0,2.0,-0.0490145,0.0182902,-0.0447727,33.9943357,-106.894676,1363.2079099999999,23.0171352,-2.21277312,1.1728589,1.8203,3.52044,23775.9,35.2035,10994.0,-0.214595,-1.0,18.0,-1376.0,55.0,,0.0,2022-08-31 09:30:45.820,2022-08-31 16:30:47.559796+00:00,1.0245661656523402,0.013719976831321496,5.464139553098003,-4.188023435721468,3.509598375537833,-0.1047727,320.0367132482014,0.20038150795245083,0.3398865880667721,5.3442987760877,317.58416060933064,-3.9459696867386413,3.5972798854435917,-0.08236028399999999,0.33395942967679554,0.18870451206226807,0.3496107791552235,0.9368950331272322,-2.4393115767867064,0.1705950568459471,1.8124186795491823,,0.007881320450817686,0.005099019513592785,False,7.386909368564375,,-3.866469368564375,0.7071067811865476,False,-0.22268527514797376,-0.8308204634067283,0.8601461353648574,0.23461999999994987,0.10045570161636574,-0.37085000000001855,-801.4775712014192,518.2032715292104,954.4112990542927,False,,
