Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H2O,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6
2023-08-10 11:55:27.136962-07:00,0.0,3.82,-1.43,-3.53,0.28,26.39,860.92,46.42,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:27.136962+00:00,1.0012506734105675,0.013414534282774594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:27.346554-07:00,0.209592,3.27,-1.26,-2.98,0.41,26.34,860.93,46.47,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:27.346554+00:00,1.001429464643506,0.013417368912138388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:27.556813-07:00,0.419851,3.59,-1.52,-3.22,0.46,26.46,860.94,46.12,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:27.556813+00:00,1.001039998727565,0.013410699350414496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:27.766750-07:00,0.629788,3.5,-1.01,-3.34,0.32,26.38,860.93,46.45,27.0,-1.0,,,,,,,,,,1.82925,8.56083,17919.6,41.3912,10881.0,-0.39525,-1.0,13.0,-1412.0,58.0,,0.0,,2023-08-10 18:55:27.766750+00:00,1.0012957311991573,0.013415132072712738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:27.977047-07:00,0.840085,2.68,-0.69,-2.53,0.54,26.28,860.92,46.61,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:27.977047+00:00,1.0016184975232991,0.013420686860569646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:28.186920-07:00,1.049958,2.93,-0.18,-2.84,0.72,26.31,860.93,46.53,28.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:28.186920+00:00,1.001529788172322,0.013419047041234663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:28.397056-07:00,1.260094,3.28,-1.01,-3.08,0.51,26.47,860.93,46.21,30.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:28.397056+00:00,1.0009949615048512,0.013410101965213235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:28.598826-07:00,1.461864,3.65,-1.47,-3.3,0.48,26.55,860.93,45.95,31.0,-1.0,,,,,,,,,,1.82519,9.92881,17956.9,41.3909,10907.0,-0.390521,-1.0,14.0,-1412.0,58.0,,0.0,,2023-08-10 18:55:28.598826+00:00,1.0007277623159279,0.01340563398855274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:28.798228-07:00,1.661266,4.02,-1.46,-3.73,0.32,26.48,860.93,46.19,32.0,-1.0,,,,,,,,,,1.82519,9.92881,17956.9,41.3909,10907.0,-0.390521,-1.0,14.0,-1412.0,58.0,,0.0,,2023-08-10 18:55:28.798228+00:00,1.0009615538033025,0.013409543301950232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:28.998453-07:00,1.861491,3.73,-1.69,-3.3,0.42,26.47,860.92,46.14,32.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:28.998453+00:00,1.0009833346018335,0.013410063294662496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:29.198793-07:00,2.061831,3.39,-1.55,-2.97,0.52,26.53,860.95,45.99,32.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:29.198793+00:00,1.0008177978892416,0.013406827997407928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:29.398803-07:00,2.261841,3.62,-1.36,-3.33,0.4,26.52,860.93,46.02,33.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:29.398803+00:00,1.0008279452934348,0.013407309123759323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:29.598671-07:00,2.461709,3.21,-1.31,-2.89,0.49,26.52,860.92,45.96,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:29.598671+00:00,1.0008163203303682,0.013407270470960912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:29.798727-07:00,2.661765,3.18,-1.38,-2.82,0.54,26.43,860.94,46.2,30.0,-1.0,,,,,,,,,,1.8228,10.2284,17975.3,41.3906,10904.0,-0.37374,-1.0,15.0,-1407.0,58.0,,0.0,,2023-08-10 18:55:29.798727+00:00,1.0011402430695164,0.013412375778404031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:29.998930-07:00,2.861968,3.28,-1.5,-2.86,0.57,26.54,860.92,45.96,29.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:29.998930+00:00,1.0007495302259046,0.013406153673796266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:30.198671-07:00,3.061709,2.64,-1.17,-2.31,0.54,26.59,860.92,45.77,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:30.198671+00:00,1.0005825939594362,0.013403362511255934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:30.398852-07:00,3.26189,2.77,-1.48,-2.26,0.64,26.64,860.91,45.7,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:30.398852+00:00,1.0004040930675446,0.013400533924463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:30.599072-07:00,3.46211,2.93,-1.57,-2.38,0.69,26.76,860.9,45.31,26.0,-1.0,,,,,,,,,,1.82062,9.95495,17980.5,41.3904,10904.0,-0.365019,-1.0,14.0,-1418.0,58.0,,0.0,,2023-08-10 18:55:30.599072+00:00,0.9999921956854959,0.013393804288329737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:30.798871-07:00,3.661909,2.51,-1.38,-1.96,0.75,26.88,860.92,45.14,26.0,-1.0,,,,,,,,,,1.82062,9.95495,17980.5,41.3904,10904.0,-0.365019,-1.0,14.0,-1418.0,58.0,,0.0,,2023-08-10 18:55:30.798871+00:00,0.9996154608319214,0.013387197125939857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:30.998226-07:00,3.861264,2.49,-1.29,-2.0,0.74,26.88,860.92,45.09,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:30.998226+00:00,0.9996154608319214,0.013387197125939857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:31.199177-07:00,4.062215,2.38,-1.15,-1.92,0.8,26.93,860.92,44.98,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:31.199177+00:00,0.9994489026706258,0.013384414011094166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:31.398218-07:00,4.261256,2.86,-1.62,-2.15,0.96,26.74,860.92,45.43,28.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:31.398218+00:00,1.0000821191550282,0.01339499613453061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:31.598962-07:00,4.462,2.7,-1.62,-1.98,0.86,26.71,860.93,45.6,29.0,-1.0,,,,,,,,,,1.82455,8.58504,17999.6,41.389,10890.0,-0.375063,-1.0,16.0,-1415.0,58.0,,0.0,,2023-08-10 18:55:31.598962+00:00,1.000193791656385,0.01339670714261432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:31.798289-07:00,4.661327,2.46,-1.41,-1.9,0.67,26.92,860.92,45.04,29.0,-1.0,,,,,,,,,,1.82455,8.58504,17999.6,41.389,10890.0,-0.375063,-1.0,16.0,-1415.0,58.0,,0.0,,2023-08-10 18:55:31.798289+00:00,0.99948220986237,0.01338497053959299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:31.998383-07:00,4.861421,1.8,-1.04,-1.34,0.6,27.26,860.91,44.11,30.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:31.998383+00:00,0.9983394130046244,0.013366036636400276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:32.199268-07:00,5.062306,2.23,-1.23,-1.75,0.63,27.42,860.91,43.8,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:32.199268+00:00,0.9978079750498027,0.013357163512175634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:32.398295-07:00,5.261333,2.65,-1.19,-2.22,0.84,26.99,860.92,44.85,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:32.398295+00:00,0.9992491061284781,0.013381075831581966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:32.598377-07:00,5.461415,2.96,-1.55,-2.4,0.77,26.7,860.92,45.66,31.0,-1.0,,,,,,,,,,1.82856,10.1517,18024.1,41.3889,10863.0,-0.342958,-1.0,17.0,-1394.0,58.0,,0.0,,2023-08-10 18:55:32.598377+00:00,1.0002155301430762,0.0133972261260932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:32.798421-07:00,5.661459,2.67,-1.19,-2.28,0.72,26.81,860.91,45.39,34.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:32.798421+00:00,0.9998371218186399,0.013391056921807209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:32.999066-07:00,5.862104,2.21,-1.09,-1.83,0.56,26.95,860.9,44.92,30.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:32.999066+00:00,0.9993590783340122,0.013383224095630536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:33.199092-07:00,6.06213,2.86,-1.57,-2.34,0.47,26.76,860.9,45.46,29.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:33.199092+00:00,0.9999921956854959,0.013393804288329737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:33.398552-07:00,6.26159,3.07,-1.82,-2.41,0.55,26.58,860.91,45.95,28.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:33.398552+00:00,1.0006043541211065,0.01340388201771597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:33.599169-07:00,6.462207,2.57,-1.58,-1.98,0.4,26.79,860.92,45.35,27.0,-1.0,,,,,,,,,,1.8299,9.64782,18034.8,41.3877,10863.0,-0.433688,-1.0,17.0,-1394.0,58.0,,0.0,,2023-08-10 18:55:33.599169+00:00,0.9999154054590965,0.01339220971010062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:33.799073-07:00,6.662111,2.52,-1.8,-1.75,0.29,27.06,860.92,44.68,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:33.799073+00:00,0.9990161111002346,0.013377183435765161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:33.998880-07:00,6.861918,2.65,-2.03,-1.67,0.35,27.08,860.92,44.63,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:33.998880+00:00,0.9989495610478679,0.013376071747078533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:34.198956-07:00,7.061994,3.29,-2.36,-2.24,0.46,26.64,860.91,45.73,25.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:34.198956+00:00,1.0004040930675446,0.013400533924463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:34.399102-07:00,7.26214,3.08,-2.26,-2.07,0.34,26.85,860.92,45.23,25.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:34.399102+00:00,0.9997154223780047,0.013388867561835643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:34.598787-07:00,7.461825,2.61,-2.18,-1.35,0.49,26.93,860.89,45.07,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:34.598787+00:00,0.999414075431068,0.013384298490215598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:34.798697-07:00,7.661735,2.44,-1.48,-1.92,0.28,27.53,860.91,43.41,28.0,-1.0,,,,,,,,,,1.82159,7.80982,18055.5,41.3879,10841.0,-0.315763,-1.0,17.0,-1387.0,58.0,,0.0,,2023-08-10 18:55:34.798697+00:00,0.9974429395394415,0.013351070210258685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:34.999038-07:00,7.862076,3.91,-2.41,-3.08,0.24,26.87,860.9,45.17,29.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:34.999038+00:00,0.9996255563230352,0.013387676833991132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:35.198495-07:00,8.061533,4.27,-2.23,-3.63,0.13,26.61,860.91,45.82,29.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:35.198495+00:00,1.000504213573256,0.01340220775772887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:35.398615-07:00,8.261653,4.1,-1.78,-3.67,0.32,26.55,860.93,46.07,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:35.398615+00:00,1.0007277623159279,0.01340563398855274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:35.598474-07:00,8.461512,4.15,-1.78,-3.74,0.25,26.55,860.93,46.08,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:35.598474+00:00,1.0007277623159279,0.01340563398855274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:35.798725-07:00,8.661763,3.97,-2.21,-3.3,0.13,26.72,860.91,45.62,32.0,-1.0,,,,,,,,,,1.82296,9.53739,18097.9,41.3872,10863.0,-0.273214,-1.0,16.0,-1387.0,58.0,,0.0,,2023-08-10 18:55:35.798725+00:00,1.0001372029903597,0.013396072454056272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:35.998956-07:00,8.861994,4.27,-2.01,-3.76,0.13,26.67,860.91,45.81,35.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:35.998956+00:00,1.000303992597956,0.013398860517757911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:36.198841-07:00,9.061879,4.43,-2.09,-3.91,0.14,26.68,860.91,45.68,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:36.198841+00:00,1.0002706302261921,0.013398302810286101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:36.398699-07:00,9.261737,4.31,-1.78,-3.93,0.06,26.56,860.91,46.02,25.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:36.398699+00:00,1.0006711256238336,0.01340499842818786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:36.598874-07:00,9.461912,4.04,-1.48,-3.76,-0.07,26.47,860.89,46.24,26.0,-1.0,,,,,,,,,,1.82382,7.93065,18126.7,41.3863,10891.0,-0.256925,-1.0,15.0,-1388.0,58.0,,0.0,,2023-08-10 18:55:36.598874+00:00,1.0009484538927804,0.013409947285036266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:36.798635-07:00,9.661673,3.76,-1.64,-3.38,0.18,26.7,860.89,45.73,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:36.798635+00:00,1.0001806761892778,0.013397110361179755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:36.998927-07:00,9.861965,3.65,-2.04,-3.0,0.44,26.87,860.89,45.17,25.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:36.998927+00:00,0.9996139449215214,0.01338763830616958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:37.199156-07:00,10.062194,3.84,-1.91,-3.31,0.38,26.89,860.91,45.16,25.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:37.199156+00:00,0.99957053413118,0.013386601887061643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:37.399093-07:00,10.262131,3.34,-1.74,-2.78,0.64,26.72,860.92,45.69,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:37.399093+00:00,1.0001488202000912,0.013396111035615353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:37.598428-07:00,10.461466,2.68,-1.54,-2.11,0.59,26.64,860.91,45.88,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:37.598428+00:00,1.0004040930675446,0.013400533924463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:37.798699-07:00,10.661737,2.56,-1.35,-2.1,0.57,26.68,860.91,45.82,28.0,-1.0,,,,,,,,,,1.82696,8.56741,18094.9,41.3862,10909.0,-0.265194,-1.0,14.0,-1387.0,58.0,,0.0,,2023-08-10 18:55:37.798699+00:00,1.0002706302261921,0.013398302810286101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 11:55:37.998244-07:00,10.861282,2.86,-1.95,-2.03,0.51,26.79,860.9,45.44,30.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-10 18:55:37.998244+00:00,0.9998921764620825,0.013392132596869808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
