K,G,f_c2h6 (kg/s/m),f_c2h6_err (kg/s/m),f_c2h6_err (%),f_c2h6_err_term1_avg (%),f_c2h6_err_term2_avg (%),f_c2h6_err_term3_avg (%),C_c2h6_avg (kg/m^3),C_c2h6_err_avg (kg/m^3),C_c2h6_err_avg (%),C_c2h6_err_term1_avg (%),C_c2h6_err_term2_avg (%),chi_c2h6_avg (ppb),chi_c2h6_err_avg (ppb),chi_c2h6_err_avg (%),chi_c2h6_err_term1_avg (%),chi_c2h6_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,5.556759162204068e-06,2.099951904680796e-06,34723.481748995815,67.18095617739343,9.982911912539551,22.836131910067035,4.507039815022801e-09,2.0492419724086467e-09,-198.9884030821004,99.60101474125813,0.3989852587418722,3.6717958248757132e-09,1.6636544761955656e-09,-199.00527313595936,9.03262006248362,90.9673799375164,1.1841352751109229,0.0146903696375151,1.2405981410084497,3.2079623104746826,0.3082136873794016,5.095732938560198,1.0424301969696972,0.1,9.592968458770285,2.6280345414459787,4.647815598162079,2.739542564682699,0.2698865814854934,12.134965028406484,9.906996373134342,0.0623020963282196,2022-11-16 17:52:30.177915,2022-11-16 17:53:56.977435,9.33750236378237,10.476490382486315,1.1389880187039445,6.329082108573802e-06,2.416744933658964e-06,2.0520447846538747,97.94795521534613
1,0,6.894235793800681e-06,1.6745185448781254e-06,7322.91419695361,69.39110783474477,18.2512751836664,12.357616981588816,1.1159263671055017e-08,2.0565889708505216e-09,43.661695306849886,98.8274726812872,1.1725273187127985,9.08568192592738e-09,1.6636544761955656e-09,43.62012089218924,9.03262006248362,90.9673799375164,1.183811407169504,0.0146788473322173,1.2399641748479222,2.1518826094621724,0.3173460053638883,1.3025962819585848,1.972222583333334,0.1,5.070421606824211,1.9190275458118728,2.673850592962024,3.7847494638889208,0.2162074759060935,5.74573801510506,5.183081756756775,0.0716022788186396,2022-11-16 17:54:05.177594,2022-11-16 17:55:32.177420,5.148931686070705,6.085446503378397,0.9365148173076916,6.456553974907393e-06,1.6440713158343945e-06,9.01539272596682,90.9846072740332
2,0,1.440205636866793e-05,2.125575439313183e-06,4591.506433673014,9.021602121173393,23.339662971743,67.6387349070836,3.12267316645817e-08,2.135842554480469e-09,19.66655959752332,91.05630956840956,8.94369043159041,2.5408708246502485e-08,1.6636544761955656e-09,19.55727790712069,9.03262006248362,90.9673799375164,1.1840534305356487,0.0146846139326891,1.2401972950750282,-1.0810131777813454,0.3319556602371553,-0.634261492349336,1.0186224651162794,0.1,9.817179909593358,1.777384540152933,2.970160907619868,1.8104838217501444,0.1851815346450866,10.306669773679168,6.987811250000019,0.0575721314625606,2022-11-16 17:55:36.177335,2022-11-16 17:56:33.177495,6.085446503378397,7.007523700892876,0.9220771975144793,1.3279807774866882e-05,2.1281175897692785e-06,15.180371044277924,84.81962895572207
3,0,1.098886197860268e-05,2.019920296929761e-06,7410.508943027953,32.21570877469947,16.871755304816535,50.91253592048397,1.9825702615842186e-08,2.067904574511103e-09,77.98393006024202,97.66888541506871,2.3311145849313104,1.6141650127845496e-08,1.6636544761955656e-09,77.91016150126919,9.03262006248362,90.9673799375164,1.1833770676619446,0.0146769382052451,1.240258270824071,1.421670989606942,0.3122668588538556,1.549459256515757,0.925633217948718,0.1,10.803415225482995,1.6594223568894686,3.1779661787770968,1.5360164561436445,0.1725943690473168,11.276818954285304,8.7680083544304,0.0408948909860412,2022-11-16 17:56:36.978163,2022-11-16 17:58:26.177651,7.897622253108066,9.33750236378237,1.439880110674304,1.5822643801935078e-05,2.9429561486510526e-06,2.3317176760384197,97.6682823239616
4,0,2.768116188969232e-06,5.329387724568212e-07,3496.438044076448,20.77257297058416,25.33328081546328,53.89414621395259,1.9203829842711153e-08,2.079245465961685e-09,130.23640165499714,96.2812385859746,3.718761414025385,1.566738050907664e-08,1.6636544761955656e-09,130.16667972835728,9.03262006248362,90.9673799375164,1.1823231651824155,0.0146533672410042,1.2393695660083912,2.7310899713424743,0.2760405020247762,5.9328156241469445,0.9920184399999972,0.1,10.080457778587292,1.558694429418223,3.261980914538449,1.5462536163081506,0.1636865228815981,10.60238110846502,5.114781615384636,0.0699684068139592,2022-11-16 17:58:36.177709,2022-11-16 18:00:08.177744,1.278695403846159,5.148931686070705,3.870236282224546,1.071326370796186e-05,2.071672447707477e-06,0.8740382129120088,99.12596178708797
5,0,9.028836350587426e-06,2.028492204425308e-06,367963.9420531989,48.30655533221038,19.64311990821557,32.05032475957404,1.3451394276643949e-08,2.0615679537425184e-09,3054.78102430853,98.29923579798812,1.7007642020118523,1.09484764400879e-08,1.6636544761955656e-09,3054.7312204687355,9.03262006248362,90.9673799375164,1.1836983593245571,0.01467917867924,1.2401099538870983,2.1873993525745634,0.2908436314768106,2.5437848388033,1.2342286936936933,0.1,8.10222615232908,1.255891906882325,4.153725513134041,1.5500578276518535,0.1403746176113695,9.141541991773323,7.027236151785734,0.0481589598601063,2022-11-16 18:00:11.177527,2022-11-16 18:02:55.178267,7.007523700892876,7.897622253108066,0.8900985522151901,8.036554163845748e-06,1.8571772885098969e-06,5.481646579659697,94.51835342034029
