Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6,x_dist,y_dist,s_dist,z_dist,velocity_s,velocity_z,x_src_dist,y_src_dist,s_src_dist,collecting,group,transect_num
2022-11-16 10:50:04.978283-07:00,0.600395,2.34,0.09,-2.32,0.22,14.66,975.86,25.36,23.0,0.0,-0.000153797,0.0011246,0.00637765,32.8213883,-111.78698,324.676355,0.0865803328,-0.286445883,-0.21671679,2.02107,6.97715,3026.59,27.0695,11497.0,-0.288984,-1.0,20.0,-1285.0,83.0,,0.0,,2022-11-16 17:50:04.978283+00:00,1.1811810939239993,0.014624606907840444,2.320615487187203,-2.319008751204927,0.08634032202896608,0.22637765,357.8677733949593,0.2363805791830436,0.2368088589651794,2.208337215226161,343.3923744535611,-2.044222189119039,0.4951678230934132,0.342983584,0.23172283261228405,0.2312616418440317,0.9907779093546537,0.13549588309178112,0.2136176497936887,0.22750822271713225,,,,,,,,,,,0.8794636425934269,0.5613188901148697,1.0433289007036506,0.1149599999999964,1.0433289007036506,0.1149599999999964,-20.784283055476447,-97.10794796875297,99.30730074285675,False,,
2022-11-16 10:50:05.177671-07:00,0.799783,1.79,0.91,-1.44,0.53,14.56,975.83,25.65,22.0,0.0,0.000359893,0.000268063,0.00762343,32.8213883,-111.78698,324.67928500000005,0.0961771206,-0.28843977,-0.20768651,2.02107,6.97715,3026.59,27.0695,11497.0,-0.288984,-1.0,20.0,-1285.0,83.0,,0.0,,2022-11-16 17:50:05.177671+00:00,1.181555315019359,0.01463115019619683,1.7034026613087956,-1.4412574402744476,0.9079414173873965,0.53762343,327.7905171493801,0.21809886617707855,0.21869905757177532,2.149374319352615,339.43342824446916,-1.9384758934984483,0.5890513466746897,0.33695589200000003,0.22975224671228714,0.22921268143638276,0.5973486736996532,-0.801981646940418,1.9064911302993044,0.1686852817459517,,,,,,,,,,,0.8794636429974184,0.5613188903727179,1.0433289011829154,0.11789000000004535,4.792648500284713e-10,0.002930000000048949,-20.784283055072457,-97.10794796849513,99.30730074252007,False,,
2022-11-16 10:50:07.177356-07:00,2.799468,1.56,1.1,-0.98,0.51,14.75,975.84,25.33,24.0,0.0,-0.000204414,-0.000316505,0.00497902,32.8213883,-111.78698,324.676019,0.206716107,-0.292432434,-0.202446441,2.02203,6.88849,3010.74,27.0704,11562.0,-0.196628,-1.0,24.0,-1307.0,83.0,,0.0,,2022-11-16 17:50:07.177356+00:00,1.1807876461858353,0.014618501283090108,1.473287051984962,-0.9842787825301748,1.0962527153022048,0.51497902,311.9193208314499,0.21125741938083792,0.2126242743410262,1.393658648567127,324.14910327471335,-1.0869449958766317,0.8060752679976684,0.43387758200000004,0.21395358231012124,0.21261125060088312,0.8400339093990072,-0.5425338985352164,1.2668350647522275,0.16343391194995502,,,,,,,,,,,0.879463642547099,0.5613188900853009,1.0433289006486908,0.11462399999999207,-5.342246645057003e-10,-0.003266000000053282,-20.784283055522778,-97.10794796878254,99.30730074289538,False,,
2022-11-16 10:50:07.978181-07:00,3.600293,1.45,0.92,-0.9,0.66,14.89,975.84,25.1,24.0,0.0,3.01698e-05,-0.00026412,0.00590851,32.8213883,-111.78698,324.67931500000003,0.251736975,-0.294728375,-0.197337949,2.02269,6.93232,3023.35,27.0699,11554.0,-0.197396,-1.0,23.0,-1294.0,83.0,,0.0,,2022-11-16 17:50:07.978181+00:00,1.180213731901479,0.014609160376403342,1.2872190530736425,-0.9042975681178499,0.9160670275105133,0.6659085100000001,314.6295626953172,0.2102172861770352,0.21188364210069746,1.3870804085053627,323.47461849299737,-1.1055390329724817,0.781019903143302,0.515887794,0.21471348886566183,0.21309145426488724,0.9935391820006597,0.1134896199194445,0.6505066710370736,0.21196577158478616,,,,,,,,,,,0.8794636430015548,0.5613188903753579,1.0433289011878226,0.11792000000002645,5.391318502745435e-10,0.0032960000000343825,-20.78428305506832,-97.10794796849248,99.30730074251662,False,,
2022-11-16 10:50:08.177443-07:00,3.799555,1.62,0.93,-1.24,0.49,14.76,975.85,25.39,25.0,0.0,-0.000112249,-0.000475676,0.00590447,32.8213883,-111.78698,324.67922400000003,0.261814569,-0.292608264,-0.205234363,2.02269,6.93232,3023.35,27.0699,11554.0,-0.197396,-1.0,23.0,-1294.0,83.0,,0.0,,2022-11-16 17:50:08.177443+00:00,1.1807587335958603,0.014617880840173394,1.5503149476890137,-1.2447123747004092,0.9242118487098385,0.49590447,323.40573052245406,0.2145077458202665,0.2161848038552647,1.439396953841316,328.2399996047617,-1.2013528458707379,0.6940991702802864,0.527779864,0.21617653004238072,0.21450572781862992,0.9732686002193448,-0.22966983220936357,0.9514594344074769,0.2050859625587867,,,,,,,,,,,0.8794636429890077,0.5613188903673497,1.0433289011729376,0.11782900000002883,-1.48849821357544e-11,-9.099999999762076e-05,-20.784283055080866,-97.1079479685005,99.30730074252709,False,,
2022-11-16 10:50:08.978203-07:00,4.600315,1.56,0.9,-1.12,0.61,15.05,975.84,24.84,25.0,0.0,-0.000572861,-0.000139687,0.00599528,32.8213883,-111.78698,324.68102400000004,0.312237083,-0.290506175,-0.209076503,2.0214,7.58986,3028.61,27.0708,11507.0,-0.212985,-1.0,20.0,-1289.0,83.0,,0.0,,2022-11-16 17:50:08.978203+00:00,1.1795585126193682,0.014598499735345691,1.436555070484663,-1.1250276406501158,0.8933102922884236,0.61599528,321.54922708264223,0.21268338537761527,0.21470768232849227,1.399036155194283,325.04312191664064,-1.1302499961287293,0.7715090583784231,0.627606336,0.21503278088076047,0.21300603282408911,0.23689984261960587,-0.9715340779235724,1.280846762321495,0.20141366655825169,,,,,,,,,,,0.8794636432371934,0.5613188905257547,1.0433289014673663,0.11962900000003174,2.9442870363993734e-10,0.0018000000000029104,-20.78428305483268,-97.10794796834209,99.30730074232024,False,,
2022-11-16 10:50:09.977758-07:00,5.59987,1.46,0.98,-0.9,0.6,15.15,975.84,24.79,25.0,0.0,0.000107035,-8.41724e-05,0.00508552,32.8213883,-111.78698,324.679346,0.376619902,-0.288593877,-0.195690276,2.02293,7.68256,3042.11,27.0712,11484.0,-0.201181,-1.0,21.0,-1299.0,83.0,,0.0,,2022-11-16 17:50:09.977758+00:00,1.1791493698817272,0.014591844772639919,1.330699488117476,-0.9065064747826971,0.9741699743130869,0.6050855199999999,312.93948529599345,0.2098232005455716,0.2123201566355852,1.4170249486712887,314.19515067164076,-0.982369744832955,1.0075539356593608,0.590928762,0.2132789007864615,0.21080841615620977,0.6181551093878717,0.7860561435022746,-0.1493731598050133,0.1536496514887157,,,,,,,,,,,0.8794636430058291,0.561318890378086,1.0433289011928935,0.11795100000000502,-2.7447288886151e-10,-0.0016780000000267137,-20.784283055064048,-97.10794796848975,99.30730074251306,False,,
2022-11-16 10:50:10.177432-07:00,5.799544,1.64,1.0,-1.14,0.63,14.98,975.84,25.07,24.0,0.0,0.00025576,9.38483e-05,0.00489352,32.8213883,-111.78698,324.678674,0.389832272,-0.285956193,-0.198282628,2.02293,7.68256,3042.11,27.0712,11484.0,-0.201181,-1.0,21.0,-1299.0,83.0,,0.0,,2022-11-16 17:50:10.177432+00:00,1.179845081514948,0.014603161840921693,1.5165396033857295,-1.1466835692788555,0.9924762770883996,0.63489352,319.12319336582925,0.21271793144962448,0.21524878129672634,1.4085283964080966,314.5863300338953,-0.9826924384486416,0.9954034717034087,0.5630360139999999,0.21331853239133425,0.2107713270273875,0.344479944586101,-0.9387936768949591,1.2654419803212762,0.18747668160845932,,,,,,,,,,,0.8794636429131731,0.5613188903189482,1.0433289010829734,0.11727899999999636,-1.099200730436678e-10,-0.0006720000000086657,-20.784283055156703,-97.1079479685489,99.30730074259029,False,,
2022-11-16 10:50:10.978257-07:00,6.600369,1.64,0.86,-1.24,0.64,15.41,975.85,24.38,25.0,0.0,0.000208488,-0.000635841,0.00599624,32.8213883,-111.78698,324.681146,0.43221996,-0.286112053,-0.195959216,2.02277,7.51825,3051.73,27.0713,11552.0,-0.177162,-1.0,23.0,-1306.0,83.0,,0.0,,2022-11-16 17:50:10.978257+00:00,1.1780989984390908,0.014574617258109037,1.5096821610312456,-1.2470880462031937,0.8508299667695496,0.64599624,325.69610666839014,0.21400589583465338,0.2167661822476994,1.3577861193144334,325.9989434950454,-1.1216740392937683,0.7417684502972914,0.531627668,0.21526491737292752,0.21248900443618046,0.9502226651108715,0.3115716397710045,0.3553633740253278,0.19545919225185432,,,,,,,,,,,0.8794636432540148,0.5613188905364909,1.043328901487322,0.11975100000000793,4.043485546390002e-10,0.002472000000011576,-20.78428305481586,-97.10794796833135,99.30730074230621,False,,
2022-11-16 10:50:12.978315-07:00,8.600427,2.52,1.55,-1.88,0.63,14.2,975.84,26.36,23.0,0.0,0.000164591,0.000162969,0.00404325,32.821388,-111.78698,324.679681,0.538882976,-0.288342274,-0.194762632,2.01858,7.60072,3087.66,27.0725,11495.0,-0.295917,-1.0,19.0,-1280.0,83.0,,0.0,,2022-11-16 17:50:12.978315+00:00,1.1830477234623349,0.014655314214556276,2.4365522680298346,-1.8943318523428636,1.5324143656467681,0.6340432500000001,321.02897123353364,0.22527721176405238,0.22852823627644106,2.3074861274812566,325.55402921650955,-1.9001173453064992,1.270477362945346,0.5722534899999999,0.22935909972597054,0.22618330355994445,0.7035967288524977,-0.7105994956007673,2.24412614380656,0.1610481339408576,,,,,,,,,,,0.8460662888281787,0.5613188923032144,1.0153359364998338,0.11828600000001188,-0.027992964987488156,-0.0014649999999960528,-20.817680409241696,-97.10794796656462,99.31429592912768,False,,
