K,G,f_c2h6 (kg/s/m),f_c2h6_err (kg/s/m),f_c2h6_err (%),f_c2h6_err_term1_avg (%),f_c2h6_err_term2_avg (%),f_c2h6_err_term3_avg (%),C_c2h6_avg (kg/m^3),C_c2h6_err_avg (kg/m^3),C_c2h6_err_avg (%),C_c2h6_err_term1_avg (%),C_c2h6_err_term2_avg (%),chi_c2h6_avg (ppb),chi_c2h6_err_avg (ppb),chi_c2h6_err_avg (%),chi_c2h6_err_term1_avg (%),chi_c2h6_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,3.080187608761811e-07,5.982439580069935e-07,13339.420474717626,99.82385961171488,0.0578773917586717,0.1182629965264442,-7.327859246649036e-11,1.094448130299721e-09,228.05710891529236,99.99262580763812,0.0073741923618779,-6.626649967082586e-11,9.898139130054952e-10,228.057694276687,25.517193126803388,74.48280687319664,1.065028490651256,0.0140845537502411,1.3224577572092966,-3.2580833203023203,0.219253218205333,-2.920370007848821,1.9666683749999987,0.1,5.084741345881461,2.061874068124136,2.626447368805912,4.055022523012331,0.229800500022183,5.761099744688016,9.313368000000091,0.0732983504862195,2023-04-19 14:46:00.463250,2023-04-19 14:46:47.663291,7.574334952381033,9.619292333333412,2.044957380952379,6.298852385255524e-07,1.2235917090097548e-06,0.03404628187120843,99.96595371812879
1,0,3.60691139618063e-06,6.321716540609421e-07,2084.9647082603824,42.18200879711888,20.66524385486357,37.15274734801756,8.955863506596003e-09,1.1020577892839483e-09,45.64900750964029,98.08701063333442,1.912989366665564,8.125256960296685e-09,9.898139130054952e-10,45.578099440253645,25.517193126803388,74.48280687319664,1.0622499374079597,0.0140331162728062,1.3210741830157764,-4.509370628498194,0.3163561067089482,-8.476647383633829,1.1999978048780484,0.1,8.33334857726366,1.736297017874317,2.901206188888725,2.0835526100654818,0.1837693494417032,8.827155871143374,5.835301904761975,0.0874380052553766,2023-04-19 14:47:03.463799,2023-04-19 14:48:40.662872,4.964052857142942,7.574334952381033,2.610282095238091,9.415056236560524e-06,1.6800143563172886e-06,3.5240774531890935,96.47592254681089
2,0,3.933368417373728e-06,5.637470213864982e-07,2643.1007468334165,43.795691837226045,17.74305289320648,38.461255269567474,1.0871954563894355e-08,1.1077953042375691e-09,12.212726445601374,96.94099946679984,3.059000533200169,9.866226553760382e-09,9.898139130054952e-10,12.12719185803176,25.517193126803388,74.48280687319664,1.061602987215011,0.0140162086020762,1.3202861574035831,-1.8094679340728224,0.2194445298341909,-1.446624878033369,1.51850162962963,0.1,6.5854390965909255,1.8209995821240388,2.9160611892411183,2.765190833010228,0.1978852887174145,7.255350125444017,2.695743214285796,0.0745961379244268,2023-04-19 14:48:46.663199,2023-04-19 14:50:11.663001,2.15190860714293,2.702898134920722,0.5509895277777921,2.167244806864832e-06,4.2728890684328944e-07,47.154017827013774,52.845982172986204
3,1,3.2743825530867333e-06,7.400192468430706e-07,4348.840736332604,55.55257866378136,16.57954882898119,27.867872507237443,6.2987045002840695e-09,1.0999966523073871e-09,-14.706992266217416,98.57968908549144,1.4203109145085604,5.708811643448645e-09,9.898139130054952e-10,-14.756796149686537,25.517193126803388,74.48280687319664,1.062903009440319,0.0140393300023769,1.3208465555791118,-3.945606399027112,0.3077425503928925,-5.619321601380768,1.3142973714285713,0.1,7.608628166950172,2.2525397342957163,2.246237497106016,2.960507051823272,0.2347451183935716,7.936707387330306,2.7100530555556475,0.0635763366975836,2023-04-19 14:50:52.463408,2023-04-19 14:51:52.463294,2.702898134920722,3.401428432539778,0.6985302976190559,2.28725541932632e-06,5.572687418872085e-07,13.954698840284196,86.04530115971579
4,1,5.062802497739329e-06,8.852926239359022e-07,20682.48130376836,70.48814129368877,11.789811124385087,17.722047581926137,6.576412262770146e-09,1.095802481762361e-09,-204.25525362005024,98.89541036628717,1.1045896337128214,5.974356207205145e-09,9.898139130054952e-10,-204.3074770322387,25.517193126803388,74.48280687319664,1.06051970460225,0.0139962889190897,1.3197557463060152,-1.2966122582192754,0.2098257002309567,-1.333863851161,1.845433363636364,0.1,5.418781407688078,1.921774600417512,2.758847134883924,3.5465069649994185,0.2140804575472193,6.114892726751356,1.6080740000000635,0.0518533919773301,2023-04-19 14:51:56.663070,2023-04-19 14:53:21.662836,0.4020185000000158,2.15190860714293,1.749890107142914,8.859348005212488e-06,1.5712511481250105e-06,2.7915479827406307,97.20845201725936
5,1,1.6894076981482198e-06,7.53478993636966e-07,10818.325856299434,91.39783001161624,4.029747910822526,4.572422077561287,1.762066545846994e-09,1.0932736718612586e-09,136.07326836369506,99.75986400361067,0.2401359963893172,1.5987864986676095e-09,9.898139130054952e-10,136.05922083329233,25.517193126803388,74.48280687319664,1.0626486440638898,0.014037580140087,1.3209983468309328,-1.0190741146556623,0.336603356634654,-2.6060304448051106,1.5365760487804865,0.1,6.507975968997151,2.0003756862502757,2.635170455823382,3.073729368055002,0.2148152325368292,7.060263129291428,4.092803809523908,0.0891316313889815,2023-04-19 14:53:25.463389,2023-04-19 14:54:28.463007,3.401428432539778,4.964052857142942,1.5626244246031642,2.639909732239018e-06,1.1869945295283408e-06,1.6092933394951607,98.39070666050482
6,1,5.467134378808249e-07,4.63576698379403e-07,6611.736171977516,98.562456954795,0.700916172015143,0.7366268731898432,8.460834853039614e-10,1.089916298906316e-09,208.59851174053028,99.94536275087104,0.0546372491289674,7.688047712060788e-10,9.898139130054952e-10,208.59174079077025,25.517193126803388,74.48280687319664,1.0603680322765108,0.0140073932825037,1.3209931011796536,-2.2150168505880834,0.2153541720035431,-1.9305473910763205,2.305851470588236,0.1,4.336792775923657,2.1987879930170817,2.319282220271787,5.070078527210193,0.2486694341627723,4.927464619888828,9.925216666666731,0.0592445335499887,2023-04-19 14:54:47.663269,2023-04-19 14:55:29.663175,9.619292333333412,10.23114100000005,0.6118486666666385,3.345058880161168e-07,2.854821505123932e-07,1.287235911341131,98.71276408865884
