Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6
2023-08-31 10:35:07.175757-07:00,389.865093,5.63,-0.34,5.6,-0.37,23.49,862.4,63.79,42.0,2.0,-1.48042,-0.235823,-0.0172729,34.0613551,-106.884253,1402.6118399999998,-5.97388641,2.43776326,-3.699124,,,,,,,,,,,,,,2023-08-31 17:35:07.175757+00:00,1.0127771282037574,0.013584573183904528,5.817175390928779,5.298380262208031,-2.401394621021657,-0.3872729,155.6184530060143,0.3360809909491575,0.332847885475998,,,,,,,,0.1573112922945389,-0.9875490657767958,,,,,,,,,,,,
2023-08-31 10:35:07.375672-07:00,390.065008,5.07,0.23,5.07,-0.08,23.83,862.42,62.49,27.0,2.0,-1.42254,-0.227835,-0.102081,34.061355,-106.884256,1402.61086,-5.86203211,3.83684298,-3.73376443,,,,,,,,,,,,,,2023-08-31 17:35:07.375672+00:00,1.0116411024840963,0.01356517682977401,5.132907625091775,4.83914320134807,-1.711558869736019,-0.182081,160.52179788580597,0.3191115728990714,0.3139390517215641,,,,,,,,0.15814521466830075,-0.9874158653158845,,,,,,,,,,,,
2023-08-31 10:35:07.576557-07:00,390.265893,5.22,-0.16,5.22,-0.25,23.75,862.43,62.92,34.0,2.0,-1.28832,-0.20212,-0.181317,34.0613548,-106.884259,1402.54714,-5.64739111,2.71717852,-3.80982197,,,,,,,,,,,,,,2023-08-31 17:35:07.576557+00:00,1.011925423605285,0.013569793987411006,5.349291868007164,4.976798956711041,-1.9612229943602713,-0.431317,158.49193033790863,0.3242118285381235,0.318933739585413,,,,,,,,0.154990661334181,-0.9879159351377996,,,,,,,,,,,,
2023-08-31 10:35:07.775649-07:00,390.464985,4.81,-0.24,4.8,-0.22,23.71,862.45,62.97,4.0,2.0,-1.27099,-0.229969,-0.245316,34.0613545,-106.884261,1402.4918499999999,-5.56192955,-0.0830342046,-3.49160298,,,,,,,,,,,,,,2023-08-31 17:35:07.775649+00:00,1.0120852441345196,0.013572163349152247,4.936505205735694,4.524171511807363,-1.9750837394921474,-0.465316,156.4157217788291,0.31097334580252034,0.30213805922512343,,,,,,,,0.17804592975886382,-0.9840221780510344,,,,,,,,,,,,
2023-08-31 10:35:07.976049-07:00,390.665385,4.85,-0.26,4.83,-0.32,23.85,862.46,62.5,28.0,2.0,-1.32438,-0.297266,-0.334288,34.0613541,-106.884263,1402.46267,-5.55015523,-0.942709404,-3.06519383,,,,,,,,,,,,,,2023-08-31 17:35:07.976049+00:00,1.0116198963853724,0.013564191630770963,4.931376306858175,4.484944119436563,-2.050304495769728,-0.654288,155.43236028444142,0.3119210107962015,0.3032700821345182,,,,,,,,0.2190076240727092,-0.9757231475157423,,,,,,,,,,,,
2023-08-31 10:35:08.175663-07:00,390.864999,4.81,-0.27,4.8,-0.12,24.06,862.45,61.63,41.0,2.0,-1.38627,-0.275463,-0.0535741,34.0613532,-106.884267,1402.47427,-4.23890212,0.392739356,-1.92033315,,,,,,,,,,,,,,2023-08-31 17:35:08.175663+00:00,1.0108933938083289,0.013552152945879201,4.920825716117156,4.491449561593418,-2.010324989662669,-0.1735741,155.887219006465,0.31225838294079145,0.30563309339967054,,,,,,,,0.1948975404157422,-0.9808236073524608,,,,,,,,,,,,
2023-08-31 10:35:08.376324-07:00,391.06566,4.75,-0.19,4.73,-0.44,23.95,862.44,62.05,31.0,2.0,-1.40371,-0.295289,-0.0142048,34.0613526,-106.88427,1402.5311499999998,-2.38033623,-0.0813123183,-2.31407156,,,,,,,,,,,,,,2023-08-31 17:35:08.376324+00:00,1.0112559472268303,0.013558395812550035,4.771236856550178,4.422738462408453,-1.7899959872680569,-0.4542048,157.96555470518112,0.31162472857269585,0.3079443202985913,,,,,,,,0.2058576792042005,-0.9785819413379038,,,,,,,,,,,,
2023-08-31 10:35:08.575728-07:00,391.265064,4.14,-0.32,4.13,0.04,24.13,862.45,61.32,37.0,2.0,-1.42513,-0.274881,0.0982498,34.0613524,-106.884272,1402.6084199999998,-1.98483682,-1.01700807,-2.33911396,,,,,,,,,,,,,,2023-08-31 17:35:08.575728+00:00,1.010655360514577,0.013548158082334139,4.280424971297056,3.8415579130113433,-1.8879805973270314,0.1382498,153.8276265371773,0.2914778398189573,0.2865196938629962,,,,,,,,0.1893905531283603,-0.9819018374490057,,,,,,,,,,,,
2023-08-31 10:35:08.775653-07:00,391.464989,3.85,-0.3,3.83,-0.13,24.44,862.45,60.25,58.0,2.0,-1.51,-0.237058,0.0137534,34.061352,-106.884275,1402.6773899999998,-1.96351818,-2.56373269,-3.1960218,,,,,,,,,,,,,,2023-08-31 17:35:08.775653+00:00,1.0096025591376505,0.013530495371909436,4.072719976273305,3.5804142549424487,-1.9410517170185193,-0.1162466,151.53652891271284,0.28178033022013704,0.27603132700696703,,,,,,,,0.15509244310753129,-0.987899961580593,,,,,,,,,,,,
2023-08-31 10:35:08.976066-07:00,391.665402,4.21,-0.59,4.17,-0.08,24.63,862.43,59.45,47.0,2.0,-1.6707,-0.304236,-0.0225724,34.0613515,-106.88428,1402.65139,0.364570011,-0.209965304,-2.38379936,,,,,,,,,,,,,,2023-08-31 17:35:08.976066+00:00,1.0089349797448086,0.013519614265740958,4.4681052554888305,3.869433698116326,-2.234154746209116,-0.10257240000000001,149.99848791504968,0.29328558828058454,0.2942071020499669,,,,,,,,0.17915468998351922,-0.9838209171678091,,,,,,,,,,,,
