K,G,f_c2h6 (kg/s/m),f_c2h6_err (kg/s/m),f_c2h6_err (%),f_c2h6_err_term1_avg (%),f_c2h6_err_term2_avg (%),f_c2h6_err_term3_avg (%),C_c2h6_avg (kg/m^3),C_c2h6_err_avg (kg/m^3),C_c2h6_err_avg (%),C_c2h6_err_term1_avg (%),C_c2h6_err_term2_avg (%),chi_c2h6_avg (ppb),chi_c2h6_err_avg (ppb),chi_c2h6_err_avg (%),chi_c2h6_err_term1_avg (%),chi_c2h6_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,6.751475893766176e-06,9.827862268276729e-07,5372.266991545553,24.86761609911446,54.94244191337656,20.189941987508995,1.6636596947635688e-08,1.2741782731635688e-09,333.4602844709602,91.07003100505288,8.929968994947112,1.3808414331141211e-08,1.012040939029863e-09,333.3637190729615,24.408654879967347,75.59134512003263,1.1616923225564406,0.0144202170322637,1.241310348242875,-2.7809219786111443,0.268617255767177,-5.367268295858636,2.399973666666665,0.1,4.166712384760891,3.198346078364757,1.654448050426043,7.675946364962014,0.3426277790408676,4.500542944329045,6.456502812499995,0.0349594720376662,2022-11-15 21:14:57.598011,2022-11-15 21:16:22.597822,4.751460538903054,6.908167019886358,2.1567064809833036,1.4560951816288054e-05,2.1326825006722727e-06,1.2248270308438103,98.77517296915617
1,0,6.378922005910307e-07,2.077692498434452e-07,4001.2204728289607,61.20674703540986,16.619147529214214,22.174105435375942,4.131221644594563e-09,1.227675039964016e-09,76.28833883334578,99.34273180792736,0.6572681920726836,3.4149409822113503e-09,1.012040939029863e-09,76.26249584485033,24.408654879967347,75.59134512003263,1.16467949349016,0.0144736212716593,1.24271248238416,-1.7011695128741144,0.2524004367608687,-5.841764111726341,1.1904550476190496,0.1,8.400149186649541,1.7334674226358024,2.98143525664982,2.063615043159976,0.1835565492811134,8.932609667024563,8.63650077272726,0.160258843138483,2022-11-15 21:16:26.597916,2022-11-15 21:17:46.597764,8.248472451581017,9.875517728468889,1.6270452768878716,1.0378794921352472e-06,3.531689727548181e-07,8.378639536139893,91.6213604638601
2,0,3.132685918827489e-05,4.515114783819045e-06,1382.7799419655137,0.9022129976570208,46.80876086847209,52.28902613387089,1.6799167630187106e-07,2.666331395078497e-09,17.159085385074032,12.00605504362455,87.99394495637544,1.3918747894093486e-07,1.012040939029863e-09,16.655293767503586,24.408654879967347,75.59134512003263,1.1630168647177916,0.0144360368746541,1.241257069680237,-0.1663588483361306,0.236609046761734,-0.4957420672175803,1.0416826041666667,0.1,9.599853122247229,1.6562027745476682,3.123147881838288,1.7252376192188736,0.1738610975380509,10.109361786227716,3.0464182653061145,0.0384375512587195,2022-11-15 21:17:55.598219,2022-11-15 21:18:57.598158,0.7616045663265285,4.751460538903054,3.989855972576526,0.0001249896562344024,1.8054855724578362e-05,0.4447921252858813,99.55520787471413
3,0,4.895099618554634e-06,7.2446813348852e-07,573.3594078192642,1.6245191713046685,39.41538182267922,58.9600990060161,5.2824562246122685e-08,1.5814758930376619e-09,17.1515567835454,43.395293568015774,56.604706431984205,4.376951762061519e-08,1.012040939029863e-09,16.941790933790678,24.408654879967347,75.59134512003263,1.162592735477877,0.0144367987100356,1.241775940468906,1.9047176722292023,0.2087751805540077,11.721873208681808,0.999987476190478,0.1,10.000125239663696,2.280772231225336,2.251258692984905,2.280743667268349,0.2336307816204448,10.256297889118132,7.359831227272722,0.0647767018470056,2022-11-15 21:19:03.597951,2022-11-15 21:19:24.597688,6.908167019886358,7.610137678853748,0.7019706589673902,3.436216304947817e-06,5.993109595867223e-07,27.99344145832614,72.00655854167385
4,1,1.6073442486773845e-05,2.1394591670108185e-06,410.5148093752666,3.2946170092984213,37.6030254479234,59.102357542778186,5.516713877121697e-08,1.444953841469464e-09,4.400219278430974,69.71514728784821,30.2848527121518,4.572308921609025e-08,1.012040939029863e-09,4.094129748730433,24.408654879967347,75.59134512003263,1.1623393490668037,0.0144389367726262,1.2422300216661053,2.7895039513626374,0.2721499428791462,6.091625229613202,0.9999926296296272,0.1,10.000073704246956,3.108961488153453,2.467217846168914,3.108938573955811,0.3159584646300062,10.759789269145084,11.128159535714284,0.0551279547465219,2022-11-15 21:20:54.597598,2022-11-15 21:22:19.597546,11.121347109962402,13.191949475404307,2.0706023654419052,3.328170803390835e-05,4.5177199291319116e-06,3.847006803150273,96.15299319684974
5,1,1.511507440313566e-05,2.1417233167306185e-06,3936.1873605791543,5.468448734359507,37.42959562908522,57.10195563655527,3.040107441030782e-08,1.3242799595412354e-09,18.30377924911274,83.82864495911822,16.171355040881778,2.520318583072658e-08,1.012040939029863e-09,18.128664286947828,24.408654879967347,75.59134512003263,1.1620387609113236,0.0144440235257766,1.2429895668675024,2.144316252010668,0.2666687125546316,3.596563089958815,1.0384624038461538,0.1,9.629621604944958,2.634242978021373,2.152738916548506,2.735562295270926,0.2689656414197076,9.965792572033871,15.25573941509433,0.1299773673843536,2022-11-15 21:22:23.597351,2022-11-15 21:23:39.597877,13.191949475404307,17.319529354784354,4.127579879380047,6.238867698171513e-05,9.055809880652824e-06,4.706536799871672,95.29346320012833
6,1,3.2683685368445004e-06,5.162771061220564e-07,4840.94862288308,4.797039224771935,40.3550798277126,54.84788094751546,2.69245240835728e-08,1.3176802001665363e-09,-101.87389613074411,84.65026944863389,15.349730551366129,2.2310556262468883e-08,1.012040939029863e-09,-102.02719671315484,24.408654879967347,75.59134512003263,1.1623590596834064,0.0144341713356404,1.2417990593475106,-2.2070241800281254,0.2317125503937609,-8.888603391570696,1.0001686818181847,0.1,9.998313466305722,2.169225110836787,2.3358914186522965,2.1695910196725348,0.2226836492260117,10.270924613021892,7.860444130434774,0.0257344606642259,2022-11-15 21:23:47.597459,2022-11-15 21:25:11.598138,7.610137678853748,8.248472451581017,0.6383347727272692,2.0863132871555918e-06,3.4012155600435776e-07,6.115385925654399,93.88461407434562
7,1,1.2626468750978684e-06,6.951786987909162e-07,137136.10400094168,75.16563067698821,20.338072248893816,4.496297074117977,2.1295133525634193e-09,1.2235978424913901e-09,1078.68999481044,99.61997279143225,0.3800272085677626,1.7655552927566244e-09,1.012040939029863e-09,1078.6766644207871,24.408654879967347,75.59134512003263,1.162409232954742,0.0144414435329934,1.242371362373344,0.7359517455301683,0.2529540496287679,39.73863051857514,2.146661559999999,0.1,4.658396174942455,2.7552423886493664,2.442682370787686,5.9145729241961735,0.3006325404666818,5.3971570952302015,11.11453468421052,0.0742833540036541,2022-11-15 21:25:15.598000,2022-11-15 21:27:59.597784,9.875517728468889,11.121347109962402,1.2458293814935129,1.573042575447894e-06,8.711380516413445e-07,1.159238662103194,98.84076133789682
