Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,nan,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6
2023-06-06 10:45:34.591631-07:00,2.054096,6.13,-0.28,6.12,-0.26,22.29,861.94,57.8,30.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:34.591631+00:00,1.0163483593520943,0.013651918138300249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:34.791895-07:00,2.25436,5.53,-1.55,5.3,0.12,20.48,861.95,64.56,35.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:34.791895+00:00,1.0226252186073117,0.013757667867199194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:34.993122-07:00,2.455587,5.56,-0.43,5.54,-0.12,20.83,861.99,63.19,39.0,-1.0,,,,,,,,,,,1.86668,17.8242,16009.1,28.3112,11890.0,0.445202,-1.0,20.0,-1271.0,94.0,,0.0,2023-06-06 10:45:28.972,2023-06-06 17:45:34.993122+00:00,1.021455124669684,0.013737260021704233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:35.192305-07:00,2.65477,5.61,-0.1,5.61,-0.01,20.75,861.99,63.59,32.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:35.192305+00:00,1.021733166214337,0.013741956551664436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:35.391623-07:00,2.854088,5.62,-0.16,5.62,-0.01,20.67,861.98,63.83,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:35.391623+00:00,1.021999502749001,0.013746615512509034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:35.591923-07:00,3.054388,5.96,0.01,5.96,-0.16,21.0,862.0,62.54,37.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:35.591923+00:00,1.020876631660975,0.013727331464110735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:35.791757-07:00,3.254222,5.42,0.02,5.42,0.08,21.15,861.98,61.97,39.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:35.791757+00:00,1.0203326330197466,0.013718465904333692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:35.993310-07:00,3.455775,5.1,-0.06,5.1,0.09,21.32,861.98,61.31,31.0,-1.0,,,,,,,,,,,1.8667,18.8973,16041.6,28.3177,11890.0,0.471537,-1.0,21.0,-1280.0,94.0,,0.0,2023-06-06 10:45:29.996,2023-06-06 17:45:35.993310+00:00,1.019743586435669,0.013708524398115192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:36.191789-07:00,3.654254,4.85,-0.37,4.83,0.07,21.53,861.98,60.56,32.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:36.191789+00:00,1.01901687897961,0.013696263965841638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:36.391854-07:00,3.854319,5.4,-0.48,5.38,-0.09,21.62,861.97,60.21,39.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:36.391854+00:00,1.0186939316926054,0.013690975851756949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:36.592294-07:00,4.054759,6.11,-1.14,6.0,-0.17,21.42,861.95,60.96,36.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:36.592294+00:00,1.0193619273505956,0.01370256163884102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:36.792355-07:00,4.25482,6.47,-0.54,6.45,-0.24,21.53,861.95,60.6,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:36.792355+00:00,1.0189814135321873,0.013696142420661445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:36.993018-07:00,4.455483,4.64,-0.24,4.63,0.19,21.85,861.97,59.44,34.0,-1.0,,,,,,,,,,,1.87835,18.0009,15900.1,28.3239,11873.0,0.445715,-1.0,19.0,-1231.0,94.0,,0.0,2023-06-06 10:45:31.020,2023-06-06 17:45:36.993018+00:00,1.017899695745862,0.013677583920223032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:37.192129-07:00,4.654594,4.28,0.41,4.25,0.35,21.54,861.99,60.46,41.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:37.192129+00:00,1.018994121111655,0.013695721205109828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:37.392294-07:00,4.854759,4.03,0.46,3.98,0.42,21.77,861.99,59.73,35.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:37.392294+00:00,1.0181994356109916,0.013682319804408158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:37.592054-07:00,5.054519,5.12,0.29,5.11,0.09,21.64,862.0,60.09,30.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:37.592054+00:00,1.018660270711611,0.013689931697967396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:37.792331-07:00,5.254796,6.45,0.03,6.45,-0.11,21.63,861.97,60.16,37.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:37.792331+00:00,1.0186593739230247,0.013690393038171402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
