Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,nan,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6,x_dist,y_dist,s_dist,z_dist,velocity_s,velocity_z,x_src_dist,y_src_dist,s_src_dist,collecting,group,transect_num
2023-06-06 10:45:32.958259-07:00,0.420724,2.29,0.87,2.03,0.6,23.01,862.04,55.28,33.0,-1.0,,,,,,,,,,,1.87206,19.4917,16099.9,28.2989,11931.0,0.398814,-1.0,22.0,-1280.0,94.0,,0.0,2023-06-06 10:45:26.924,2023-06-06 17:45:32.958259+00:00,1.0139951236284592,0.013610726624674552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:33.992193-07:00,1.454658,3.85,-0.64,3.78,0.27,23.52,862.04,53.6,33.0,-1.0,,,,,,,,,,,1.87455,20.2978,15986.4,28.3047,11890.0,0.3885,-1.0,20.0,-1271.0,94.0,,0.0,2023-06-06 10:45:27.948,2023-06-06 17:45:33.992193+00:00,1.0122519830579584,0.01358142029912814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:34.993122-07:00,2.455587,5.56,-0.43,5.54,-0.12,20.83,861.99,63.19,39.0,-1.0,,,,,,,,,,,1.86668,17.8242,16009.1,28.3112,11890.0,0.445202,-1.0,20.0,-1271.0,94.0,,0.0,2023-06-06 10:45:28.972,2023-06-06 17:45:34.993122+00:00,1.021455124669684,0.013737260021704233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:35.993310-07:00,3.455775,5.1,-0.06,5.1,0.09,21.32,861.98,61.31,31.0,-1.0,,,,,,,,,,,1.8667,18.8973,16041.6,28.3177,11890.0,0.471537,-1.0,21.0,-1280.0,94.0,,0.0,2023-06-06 10:45:29.996,2023-06-06 17:45:35.993310+00:00,1.019743586435669,0.013708524398115192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:36.993018-07:00,4.455483,4.64,-0.24,4.63,0.19,21.85,861.97,59.44,34.0,-1.0,,,,,,,,,,,1.87835,18.0009,15900.1,28.3239,11873.0,0.445715,-1.0,19.0,-1231.0,94.0,,0.0,2023-06-06 10:45:31.020,2023-06-06 17:45:36.993018+00:00,1.017899695745862,0.013677583920223032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:37.993424-07:00,5.455889,6.27,-0.72,6.23,-0.03,21.37,861.95,61.19,39.0,-1.0,,,,,,,,,,,1.86756,18.327,15818.1,28.3308,11884.0,0.476237,-1.0,17.0,-1229.0,94.0,,0.0,2023-06-06 10:45:32.044,2023-06-06 17:45:37.993424+00:00,1.0195349821392943,0.01370548149271093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:38.993106-07:00,6.455571,4.3,-0.71,4.24,0.12,22.32,862.02,57.81,31.0,-1.0,,,,,,,,,,,1.87956,17.7066,15938.9,28.337,11919.0,0.426148,-1.0,15.0,-1247.0,94.0,,0.0,2023-06-06 10:45:33.068,2023-06-06 17:45:38.993106+00:00,1.0163394879630423,0.013650501752729981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:39.992961-07:00,7.455426,5.6,0.21,5.59,-0.15,20.99,861.99,62.65,34.0,-1.0,,,,,,,,,,,1.86729,18.1899,15998.6,28.3436,11910.0,0.413359,-1.0,17.0,-1225.0,94.0,,0.0,2023-06-06 10:45:34.092,2023-06-06 17:45:39.992961+00:00,1.0208994953096946,0.013727876767107267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:40.992589-07:00,8.455054,3.67,0.78,3.52,0.69,22.05,861.98,58.64,39.0,-1.0,,,,,,,,,,,1.86287,18.0376,16082.9,28.3503,11925.0,0.447541,-1.0,14.0,-1237.0,94.0,,0.0,2023-06-06 10:45:35.116,2023-06-06 17:45:40.992589+00:00,1.0172218627971255,0.013666000765688321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:41.993012-07:00,9.455477,5.41,0.3,5.4,-0.0,21.31,861.98,61.55,31.0,-1.0,,,,,,,,,,,1.86714,18.2934,16011.6,28.3565,11933.0,0.457692,-1.0,16.0,-1268.0,94.0,,0.0,2023-06-06 10:45:36.140,2023-06-06 17:45:41.993012+00:00,1.019778217407157,0.013709108786162981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:42.992879-07:00,10.455344,3.61,0.54,3.53,0.48,21.59,862.0,60.53,36.0,-1.0,,,,,,,,,,,1.87175,17.9138,15997.1,28.3621,11929.0,0.445645,-1.0,17.0,-1316.0,94.0,,0.0,2023-06-06 10:45:37.164,2023-06-06 17:45:42.992879+00:00,1.0188330772988934,0.013692846075327983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:43.992882-07:00,11.455347,6.93,-0.4,6.89,-0.63,20.36,861.96,65.25,37.0,-1.0,,,,,,,,,,,1.87408,17.6961,15999.1,28.3613,11939.0,0.408736,-1.0,19.0,-1294.0,94.0,,0.0,2023-06-06 10:45:38.188,2023-06-06 17:45:43.992882+00:00,1.0230551824208616,0.01376477618672594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:44.993285-07:00,12.45575,4.81,-0.94,4.7,0.41,21.26,861.96,61.76,31.0,-1.0,,,,,,,,,,,1.87692,17.2661,16079.2,28.3677,11935.0,0.379743,-1.0,14.0,-1292.0,94.0,,0.0,2023-06-06 10:45:39.212,2023-06-06 17:45:44.993285+00:00,1.0199277422381954,0.013711950253500697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:45.993634-07:00,13.456099,4.86,1.57,4.59,0.31,20.89,861.93,63.23,38.0,-1.0,,,,,,,,,,,1.87063,17.6148,15947.5,28.3738,11941.0,0.366649,-1.0,16.0,-1270.0,94.0,,0.0,2023-06-06 10:45:40.236,2023-06-06 17:45:45.993634+00:00,1.0211756075170066,0.013733495225822918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:46.993148-07:00,14.455613,3.86,0.36,3.84,0.11,21.26,862.01,61.87,37.0,-1.0,,,,,,,,,,,1.87784,16.8493,15893.4,28.3803,11938.0,0.297689,-1.0,17.0,-1276.0,94.0,,0.0,2023-06-06 10:45:41.260,2023-06-06 17:45:46.993148+00:00,1.0199869055254847,0.013712153342654066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:47.992816-07:00,15.455281,6.55,-0.04,6.55,-0.21,20.16,861.95,65.36,31.0,-1.0,,,,,,,,,,,1.87217,16.9063,15841.9,28.3866,11926.0,0.240691,-1.0,19.0,-1298.0,94.0,,0.0,2023-06-06 10:45:42.284,2023-06-06 17:45:47.992816+00:00,1.0237408985021477,0.013776530612996416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:48.992961-07:00,16.455426,5.68,0.11,5.68,-0.22,20.84,861.98,62.59,38.0,-1.0,,,,,,,,,,,1.87198,16.4084,15854.5,28.3928,11889.0,0.212085,-1.0,17.0,-1257.0,94.0,,0.0,2023-06-06 10:45:43.308,2023-06-06 17:45:48.992961+00:00,1.0214085305544796,0.013736632408140324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:49.993251-07:00,17.455716,2.58,0.43,2.46,0.66,22.11,862.02,58.0,34.0,-1.0,,,,,,,,,,,1.87409,17.3577,15843.0,28.3993,11894.0,0.167363,-1.0,19.0,-1245.0,94.0,,0.0,2023-06-06 10:45:44.332,2023-06-06 17:45:49.993251+00:00,1.017062346773827,0.013662678818591891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:50.993579-07:00,18.456044,4.14,0.64,4.06,0.49,21.33,862.02,60.76,31.0,-1.0,,,,,,,,,,,1.87064,16.2355,15929.6,28.406,11893.0,0.163481,-1.0,17.0,-1258.0,94.0,,0.0,2023-06-06 10:45:45.356,2023-06-06 17:45:50.993579+00:00,1.0197562771951918,0.013708102428279322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:51.993615-07:00,19.45608,3.69,0.14,3.64,0.58,21.85,861.99,58.84,37.0,-1.0,,,,,,,,,,,1.87296,16.7765,16047.5,28.4123,11870.0,0.158963,-1.0,16.0,-1271.0,94.0,,0.0,2023-06-06 10:45:46.380,2023-06-06 17:45:51.993615+00:00,1.0179233137301478,0.013677664710322132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:52.992700-07:00,20.455165,4.08,-1.39,3.84,0.07,22.2,862.05,57.62,34.0,-1.0,,,,,,,,,,,1.86885,16.0737,16069.6,28.4182,11870.0,0.150605,-1.0,16.0,-1271.0,94.0,,0.0,2023-06-06 10:45:47.404,2023-06-06 17:45:52.992700+00:00,1.0167878092652334,0.013657578162805061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:53.993490-07:00,21.455955,3.34,-0.15,3.31,0.42,22.42,862.07,56.97,32.0,-1.0,,,,,,,,,,,1.87121,15.8937,16183.3,28.4246,11871.0,0.143847,-1.0,15.0,-1244.0,94.0,,0.0,2023-06-06 10:45:48.428,2023-06-06 17:45:53.993490+00:00,1.0160545615991168,0.013644911840994808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:54.992864-07:00,22.455329,4.56,-1.87,4.15,-0.24,21.52,862.03,60.83,36.0,-1.0,,,,,,,,,,,1.86597,16.6251,16318.5,28.4319,11868.0,0.174985,-1.0,15.0,-1261.0,94.0,,0.0,2023-06-06 10:45:49.452,2023-06-06 17:45:54.992864+00:00,1.0191105716941742,0.013697049890364306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:55.992975-07:00,23.45544,4.13,-1.53,3.8,0.57,21.15,862.01,61.47,35.0,-1.0,,,,,,,,,,,1.86708,15.1722,16356.3,28.4391,11880.0,0.198968,-1.0,16.0,-1255.0,94.0,,0.0,2023-06-06 10:45:50.476,2023-06-06 17:45:55.992975+00:00,1.020368144260136,0.013718587883922384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:56.992985-07:00,24.45545,5.61,-2.66,4.93,0.23,21.05,862.0,61.98,32.0,-1.0,,,,,,,,,,,1.86556,15.176,16280.2,28.4456,11892.0,0.212075,-1.0,15.0,-1254.0,94.0,,0.0,2023-06-06 10:45:51.500,2023-06-06 17:45:56.992985+00:00,1.0207031312137176,0.013724402110678362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:57.993017-07:00,25.455482,2.91,-0.18,2.85,0.53,22.48,862.05,56.63,37.0,-1.0,,,,,,,,,,,1.87259,15.042,16278.2,28.4528,11904.0,0.121566,-1.0,17.0,-1254.0,94.0,,0.0,2023-06-06 10:45:52.524,2023-06-06 17:45:57.993017+00:00,1.0158247791715542,0.01364135930995646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:58.993341-07:00,26.455806,5.01,-1.71,4.71,-0.04,21.9,862.02,59.48,37.0,-1.0,,,,,,,,,,,1.86849,15.903,16406.3,28.4598,11939.0,0.0561107,-1.0,14.0,-1274.0,94.0,,0.0,2023-06-06 10:45:53.548,2023-06-06 17:45:58.993341+00:00,1.017786234565125,0.013674878046813525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:45:59.993037-07:00,27.455502,6.44,-1.44,6.27,-0.27,20.52,861.98,64.7,31.0,-1.0,,,,,,,,,,,1.86919,15.4819,16547.7,28.4673,11935.0,0.114068,-1.0,15.0,-1295.0,94.0,,0.0,2023-06-06 10:45:54.572,2023-06-06 17:45:59.993037+00:00,1.0225215170010946,0.013755436419020332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:00.993391-07:00,28.455856,5.71,-1.57,5.49,-0.06,20.17,861.99,66.16,37.0,-1.0,,,,,,,,,,,1.87074,14.7578,16515.0,28.4743,11936.0,0.172869,-1.0,18.0,-1279.0,94.0,,0.0,2023-06-06 10:45:55.596,2023-06-06 17:46:00.993391+00:00,1.0237535031719405,0.013776104485884984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:01.993329-07:00,29.455794,5.62,-1.74,5.35,0.04,20.86,862.0,62.52,36.0,-1.0,,,,,,,,,,,1.8677,14.8086,16317.8,28.4813,11935.0,0.167702,-1.0,18.0,-1277.0,94.0,,0.0,2023-06-06 10:45:56.620,2023-06-06 17:46:01.993329+00:00,1.0213627468558069,0.013735540436104287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:02.993316-07:00,30.455781,3.83,-0.86,3.72,0.34,21.83,862.01,58.92,30.0,-1.0,,,,,,,,,,,1.8722,14.7619,16179.4,28.4887,11935.0,0.131532,-1.0,18.0,-1277.0,94.0,,0.0,2023-06-06 10:45:57.644,2023-06-06 17:46:02.993316+00:00,1.018015949744925,0.013678908987722659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:03.993388-07:00,31.455853,5.05,-1.61,4.77,0.42,20.5,862.0,63.94,38.0,-1.0,,,,,,,,,,,1.87014,14.0747,16186.1,28.4961,11915.0,0.0626786,-1.0,21.0,-1245.0,94.0,,0.0,2023-06-06 10:45:58.668,2023-06-06 17:46:03.993388+00:00,1.0226148857588142,0.01375669522562074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:04.993141-07:00,32.455606,5.24,-1.7,4.95,0.17,20.37,862.0,64.52,38.0,-1.0,,,,,,,,,,,1.87081,14.5853,16131.7,28.5034,11923.0,0.0916968,-1.0,20.0,-1250.0,94.0,,0.0,2023-06-06 10:45:59.692,2023-06-06 17:46:04.993141+00:00,1.023067801863845,0.01376435077974516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:05.993358-07:00,33.455823,5.23,-1.41,5.04,0.02,20.62,862.03,63.46,30.0,-1.0,,,,,,,,,,,1.87177,13.737,16068.7,28.5102,11914.0,0.140242,-1.0,20.0,-1259.0,94.0,,0.0,2023-06-06 10:46:00.716,2023-06-06 17:46:05.993358+00:00,1.0222327404470242,0.013749758842947482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:06.992877-07:00,34.455342,2.58,-0.7,2.41,0.57,22.46,862.06,56.71,35.0,-1.0,,,,,,,,,,,1.87512,12.548,16131.0,28.5178,11898.0,-0.0406373,-1.0,18.0,-1258.0,94.0,,0.0,2023-06-06 10:46:01.740,2023-06-06 17:46:06.992877+00:00,1.0159052911578392,0.013642556666486986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:07.993229-07:00,35.455694,5.02,-0.32,5.01,0.19,20.94,862.0,62.1,37.0,-1.0,,,,,,,,,,,1.86939,13.4497,16253.0,28.5251,11879.0,0.0274895,-1.0,17.0,-1235.0,94.0,,0.0,2023-06-06 10:46:02.764,2023-06-06 17:46:07.993229+00:00,1.0210849100720043,0.013730848370498516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:08.993117-07:00,36.455582,5.7,-0.96,5.61,-0.18,21.07,861.99,61.72,31.0,-1.0,,,,,,,,,,,1.86253,14.2951,16213.6,28.5322,11877.0,0.0174608,-1.0,16.0,-1237.0,94.0,,0.0,2023-06-06 10:46:03.788,2023-06-06 17:46:08.993117+00:00,1.0206219072476161,0.013723190035739406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:09.993542-07:00,37.456007,4.57,0.75,4.5,0.18,22.06,862.02,58.05,34.0,-1.0,,,,,,,,,,,1.8603,13.7681,16276.3,28.5397,11870.0,0.170128,-1.0,19.0,-1264.0,94.0,,0.0,2023-06-06 10:46:04.812,2023-06-06 17:46:09.993542+00:00,1.0172346075960845,0.013665581384314505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:10.993736-07:00,38.456201,5.18,0.95,5.09,0.24,21.06,862.0,61.65,38.0,-1.0,,,,,,,,,,,1.85567,13.6712,16397.7,28.5471,11873.0,0.373574,-1.0,18.0,-1268.0,94.0,,0.0,2023-06-06 10:46:05.836,2023-06-06 17:46:10.993736+00:00,1.0206684382008626,0.013723816392846684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:11.992621-07:00,39.455086,5.2,-0.37,5.19,0.03,20.69,862.01,63.1,31.0,-1.0,,,,,,,,,,,1.8687,13.3973,16298.1,28.5543,11885.0,0.434224,-1.0,20.0,-1281.0,93.0,,0.0,2023-06-06 10:46:06.860,2023-06-06 17:46:11.992621+00:00,1.021965507949081,0.013745562766720268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:12.992790-07:00,40.455255,5.63,0.1,5.63,-0.04,20.46,862.01,63.97,34.0,-1.0,,,,,,,,,,,1.86238,13.3343,16226.1,28.5612,11885.0,0.474676,-1.0,20.0,-1281.0,93.0,,0.0,2023-06-06 10:46:07.884,2023-06-06 17:46:12.992790+00:00,1.0227660667407716,0.013759090779524214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:13.993622-07:00,41.456087,4.75,1.71,4.43,0.14,21.54,862.0,59.8,39.0,-1.0,,,,,,,,,,,1.87544,12.1452,16179.9,28.5678,11918.0,0.319477,-1.0,17.0,-1276.0,93.0,,0.0,2023-06-06 10:46:08.908,2023-06-06 17:46:13.993622+00:00,1.0190059425263014,0.013695761717446497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:14.993564-07:00,42.456029,6.13,-0.05,6.12,-0.41,20.26,861.99,64.83,31.0,-1.0,,,,,,,,,,,1.85981,12.8829,16059.3,28.575,11920.0,0.331311,-1.0,17.0,-1261.0,93.0,,0.0,2023-06-06 10:46:09.932,2023-06-06 17:46:14.993564+00:00,1.0234394790579517,0.01377079434020962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:15.993547-07:00,43.456012,5.72,-1.17,5.6,-0.08,19.93,862.0,66.07,33.0,-1.0,,,,,,,,,,,1.86447,11.8022,15974.6,28.5822,11926.0,0.364251,-1.0,20.0,-1292.0,93.0,,0.0,2023-06-06 10:46:10.956,2023-06-06 17:46:15.993547+00:00,1.0246037300500743,0.013790326416894034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:16.992969-07:00,44.455434,5.49,-1.37,5.32,0.02,20.54,861.98,63.53,38.0,-1.0,,,,,,,,,,,1.87221,11.6421,15888.7,28.5886,11929.0,0.232657,-1.0,15.0,-1315.0,93.0,,0.0,2023-06-06 10:46:11.980,2023-06-06 17:46:16.992969+00:00,1.0224518842919794,0.013754259631855774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:17.993540-07:00,45.456005,4.59,-1.38,4.38,0.1,20.47,862.01,63.9,31.0,-1.0,,,,,,,,,,,1.86559,11.671,15785.8,28.5954,11925.0,0.229112,-1.0,21.0,-1286.0,93.0,,0.0,2023-06-06 10:46:13.004,2023-06-06 17:46:17.993540+00:00,1.022731233757094,0.013758502040982964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:18.993541-07:00,46.456006,4.57,-1.03,4.45,0.05,19.78,862.02,66.57,33.0,-1.0,,,,,,,,,,,1.88095,11.2794,15713.7,28.6023,11927.0,0.022781,-1.0,19.0,-1302.0,93.0,,0.0,2023-06-06 10:46:14.028,2023-06-06 17:46:18.993541+00:00,1.0251521814373405,0.013799286958031062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:19.992752-07:00,47.455217,4.28,-1.04,4.15,0.17,20.59,862.03,62.61,39.0,-1.0,,,,,,,,,,,1.86344,11.8668,15621.4,28.6093,11925.0,0.000806352,-1.0,20.0,-1285.0,93.0,,0.0,2023-06-06 10:46:15.052,2023-06-06 17:46:19.992752+00:00,1.0223371422384502,0.013751522927615155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:20.992892-07:00,48.455357,4.17,-0.67,4.11,0.16,20.02,862.01,64.73,32.0,-1.0,,,,,,,,,,,1.8658,12.4359,15636.8,28.6161,11917.0,-0.00377721,-1.0,19.0,-1297.0,93.0,,0.0,2023-06-06 10:46:16.076,2023-06-06 17:46:20.992892+00:00,1.024301070558918,0.013785046188338753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:21.993168-07:00,49.455633,3.61,-1.58,3.23,-0.23,21.2,862.04,60.27,33.0,-1.0,,,,,,,,,,,1.8729,10.4084,15598.7,28.6228,11902.0,-0.125086,-1.0,19.0,-1254.0,93.0,,0.0,2023-06-06 10:46:17.100,2023-06-06 17:46:21.993168+00:00,1.0202303238111243,0.013715784255682451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:22.993147-07:00,50.455612,3.12,-1.45,2.77,0.04,21.83,862.06,57.86,40.0,-1.0,,,,,,,,,,,1.85711,10.7988,15681.5,28.6296,11872.0,-0.00524708,-1.0,17.0,-1294.0,93.0,,0.0,2023-06-06 10:46:18.124,2023-06-06 17:46:22.993147+00:00,1.0180749987089595,0.013679111010176541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:23.993267-07:00,51.455732,3.59,-1.62,3.2,-0.25,21.45,862.05,59.28,32.0,-1.0,,,,,,,,,,,1.87629,9.63987,15919.6,28.6364,11868.0,-0.141928,-1.0,21.0,-1281.0,93.0,,0.0,2023-06-06 10:46:19.148,2023-06-06 17:46:23.993267+00:00,1.0193763729344423,0.013701215799893562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
2023-06-06 10:46:24.993307-07:00,52.455772,3.95,-1.41,3.68,0.3,21.38,862.03,59.4,32.0,-1.0,,,,,,,,,,,1.86204,10.4128,16026.6,28.6433,11874.0,-0.0615353,-1.0,20.0,-1270.0,93.0,,0.0,2023-06-06 10:46:20.172,2023-06-06 17:46:24.993307+00:00,1.0195949891729954,0.01370522200129846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
